ID	Label	Text
1	Wordplay	If the opposite of pro is con, isn't the opposite of progress, congress?
2	Wordplay	There was a dyslexic insomniac agnostic.  He laid awake all night wondering if there really was a Dog.
3	Wordplay	Do infants enjoy infancy as much as adults enjoy adultery?
4	Wordplay	If a pig loses its voice, is it disgruntled?
5	Dry	Before you judge someone, you should walk a mile in their shoes.  That way, when you judge them, you're a mile away and you have their shoes.
6	Random/Absurd	When cryptography is outlawed, bayl bhgynjf jvyy unir cevinpl
7	Anti-joke	Two guys walked into a bar... you would have thought the second one would have ducked.
8	Anti-joke	The darkest hours come just before the dawn.  So if you're going to steal your neighbour's milk and newspaper, that's the time to do it.
9	Dry	If at first you don't succeed ... avoid skydiving.
10	Satire/Parody	Give a man a fish and he will eat for a day...  Teach him how to fish, and he will sit in a boat and drink beer all day.
11	Random/Absurd	Never play leapfrog with a unicorn.
12	Satire/Parody	Politics comes from the root "poli-", which means many, and "-tics", which means, blood-sucking creatures.
13	Satire/Parody	Why do they have braille on drive-thru ATMs?
14	Mockery	Can women put mascara on with their mouth closed?
15	Wordplay	The early bird may get the worm, but the second mouse gets the cheese.
16	Satire/Parody	Eagles may soar, but weasels don't get sucked into jet engines.
17	Dry	I drive way too fast to worry about my cholesterol.
18	Wordplay	Success is relative. The more success, the more relatives!
19	Anti-joke	When everything is coming your way, you're on the wrong side of the freeway.
20	Wordplay	A good way to save face is to keep the lower half shut.
21	Dry	Silence is golden, because you never have to explain something you didn't say.
22	Random/Absurd	I'm such an insomniac, the sheep fall asleep before I do.
23	Dry	It is said that "it is always in the last place you look" Well of course!  Are there some people out there who keep looking after they find it?
24	Dry	Those who live by the sword get shot by those who don't.
25	Satire/Parody	My wife keeps complaining I never listen to her...or something like that.
26	Satire/Parody	Don't steal. The government hates competition.
27	Wordplay	Why is the word abbreviation so long?
28	Anti-joke	My grandmother started walking five miles a day when she was 60. Now she's 97 years old and we don't know where the hell she is.
29	Wordplay	If you are going to try cross-country skiing, start with a small country.
30	Dry	I don't exercise because it makes the ice jump right out of my glass.
31	Satire/Parody	Lawyers creed: A man is innocent until proven broke.
32	Wordplay	The Egyptologist sneezed: Hapshepsut!
33	Wordplay	Ever notice that "fat chance" and "slim chance" mean the same thing?
34	Satire/Parody	Take your income and add 10%
35	Random/Absurd	Every solution breeds new problems.
36	Satire/Parody	Did you hear about the new Polish million dollar lotery?  You get a dollar a year for a million years!!!
37	Satire/Parody	Sometimes I get the feeling the whole world is against me, but deep down I know that's not true.  Some of the smaller countries are neutral.  -- Robert Orben
38	Wordplay	Sign seen on a maternity-ward door:  Push! Push! Push!
39	Mockery	Seen on a bumper sticker:  "I don't care who's on board, what you love, who you brake for or what you'd rather be doing."
40	Mockery	All my life I wanted to be someone; I guess I should have been more specific.  -Jane Wagner
41	Mockery	Karate is a form of martial arts in which people who have had years and years of training can, using only their hands and feet, make some of the worst movies in the history of the world.  -Dave Barry
42	Wordplay	Then there was the model who sat on a broken bottle and cut a good figure.
43	Wordplay	Then there was the neat nurse, who made the patient without disturbing the bed.
44	Random/Absurd	Then there were the three bears.  One married a giraffe.  The other two put him up to it.
45	Mockery	Madame, said the psychiatrist, "you haven't got a complex; you ARE inferior."
46	Wordplay	The wife ran into the house, screaming to her actor husband, "Darling, come quick.  Your kids and my kids are beating up on our kids!"
47	Wordplay	The Romans had to give up their big holidays because of the tremendous overhead.  The lions ate up all of their prophets.
48	Wordplay	I wonder who came up with the company People's Gas and where was their Pepto-Bismal?
49	Satire/Parody	I make money the old-fashioned way.  My salary is the same as it was ten years ago.
50	Wordplay	Actual Newspaper Headline:  Kids Make Great Snacks For Teachers.
51	Satire/Parody	Overheard in a doctor's waiting room:  "My uncle had a cough like yours and he died.  Mind you, he was hiding under his neighbour's bed at the time."
52	Wordplay	Did you hear about the scientist who crossed a carrier pigeon with a woodpecker?  He got a bird that not only delivers messages to their destination but knocks on the door when it gets there.
53	Wordplay	What did the Zen Buddhist say to the New York hot-dog vendor?  "Make me one with everything."
54	Satire/Parody	For Gods sakes Bill! Help her find it!. ~Hillary after walking in with Monica on her hands and knees in front of Bill
55	Wordplay	What's the difference between an enzyme and a hormone?  You can't hear an enzyme!
56	Wordplay	I recently went to my  30th class reunion from nursery school.  I didn't want to go because I've put on maybe 90 or 100 pounds since then.
57	Dry	The amount of sleep required by the average person is about five minutes more.
58	Dry	They say one way to build character is to do things you don't want to do.  Every day I do two things I don't want to do: I get out of bed in the morning and go to bed at night!
59	Dry	Money is not the most important thing in the world.  Love is.  Fortunately, I love money.  -- Jackie Mason
60	Dry	The perfect climate is in bed.
61	Satire/Parody	Opera: where somebody gets stabbed in the back and, instead of bleeding, sings.
62	Random/Absurd	If you don't like my driving, stay out of the bus shelters!
63	Anti-joke	Overheard at an exhibit in the science museum:  "It says here that oxygen was discovered over two hundred years ago."  "Wow! What did people breathe before that?"
64	Satire/Parody	Did you hear about the new dictionary for masochists?  It has all the words, but they're not in alphabetical order.
65	Random/Absurd	Never ever take a sleeping pill and a laxative in the same night.
66	Wordplay	Why don't ghosts make good magicians? You can see right through them!
67	Satire/Parody	Famous Last Words  "Oh come on, nobody's died from this in years."  "I saw it on Jackass last night."  "My dad did it when he was a kid."  "Yes, I'm sure that the power is off."  "It'll only hurt for a couple of days."  "See, I'm not afraid of heights."
68	Dry	Famous Last Words:  "The gun isn't loaded, ok?"  "Yes, I double checked."  "This fuse should give us plenty of time."  "I don't think he has a gun."  "This is a very safe neighborhood!"  "I am 100% sure of the blast radius."
